,CGLSE,Uni
0.4,0.017022826,0.052643223
0.4,0.115113094,0.278456691
0.4,0.006260969,0.002430945
0.4,0.006697239,0.000376777
0.4,0.020085375,0.004106728
0.4,0.002407843,0.054955192
0.4,0.033289483,0.149041249
0.4,0.010580959,0.023212972
0.4,1.22E-05,0.001572982
0.4,0.006633582,0.071595444
0.4,0.006269782,0.003017377
0.4,0.007593296,0.004204564
0.4,0.022827198,0.03459369
0.4,0.006105569,0.001545058
0.4,0.007921909,0.002282748
0.4,0.018531426,0.072779102
0.4,0.019240251,0.0143049
0.4,0.009031409,0.010884571
0.4,0.008305383,0.010700591
0.4,0.005265334,0.004093379
0.4,0.015902711,0.039024305
0.4,0.000931583,0.039865219
0.4,0.008045526,0.006065627
0.4,0.004348953,0.00168174
0.4,0.022755591,0.045485648
0.4,0.008561277,0.011080276
0.4,0.006594553,0.001488458
0.4,0.007419226,0.002121112
0.4,0.006957447,0.006396489
0.4,0.014442544,0.031492062
0.4,0.008970086,0.143602239
0.4,0.000218554,0.022853442
0.4,0.005958576,0.004076457
0.4,0.002095661,0.013681724
0.4,0.011847467,0.017061729
0.4,0.006283524,0.001009543
0.4,0.039226658,0.094826023
0.4,0.045341082,0.103417629
0.4,0.009862274,0.055345676
0.4,0.006920011,0.000278436
0.4,0.007225749,0.000282188
0.4,0.012515907,0.047205833
0.4,0.152402874,0.283071195
0.4,0.012818792,0.017413708
0.4,0.004460254,0.056300556
0.4,0.005965864,4.16E-05
0.4,0.041769393,0.163101452
0.4,0.00316361,0.015055223
0.4,0.006974488,0.003070422
0.4,0.015814234,0.031971431
0.4,0.017649362,0.074731586
0.4,0.000329925,0.049282655
0.4,0.008669465,0.003450324
0.4,0.014303805,0.017205596
0.4,0.000554404,0.0159232
0.4,0.066515132,0.21072467
0.4,0.012733523,0.057210302
0.4,0.006031684,0.004250753
0.4,0.014523859,0.086223972
0.4,0.008953095,0.013089093
0.4,0.000714502,0.011131699
0.4,0.007076872,0.003917668
0.4,0.009664608,0.008153664
0.4,0.011060698,0.004479603
0.4,0.006506973,0.0044714
0.4,0.007139789,0.020582405
0.4,0.041086692,0.145147997
0.4,0.002317488,0.012096891
0.4,0.033079801,0.005059536
0.4,0.001225318,0.049969187
0.4,0.220119867,0.438313866
0.4,0.004664603,0.010484191
0.4,0.005995976,0.00019875
0.4,0.076851284,0.238230748
0.4,0.026902275,0.067447978
0.4,0.006217289,0.004187657
0.4,0.077230543,0.176421696
0.4,0.000272811,0.011775874
0.4,0.007019706,0.002695371
0.4,0.008018008,0.067056888
0.4,0.004396014,0.003139265
0.4,0.007712092,0.003457731
0.4,0.008873632,0.005644846
0.4,0.001829025,0.030619096
0.4,0.007558781,0.007722429
0.4,0.005757588,0.00751583
0.4,0.010080081,0.006263082
0.4,0.008572368,0.123725507
0.4,0.001621602,0.020880764
0.4,0.007281378,0.002535757
0.4,0.064886756,0.156335286
0.5,0.08265275,0.002327989
0.5,0.08580346,0.001022435
0.5,0.087572248,0.002261118
0.5,0.081393866,0.002192008
0.5,0.048123265,0.04794909
0.5,0.085227663,0.001282851
0.5,0.049003433,0.130860504
0.5,0.064598338,0.249233576
0.5,0.029425539,0.029509268
0.5,0.070917496,0.020039722
0.5,0.183553166,0.684609881
0.5,0.086289363,0.001227446
0.5,0.080106747,0.004383721
0.5,0.015527525,0.012772155
0.5,0.03123395,0.030216473
0.5,0.100473368,0.256323878
0.5,0.077971376,0.008053486
0.5,0.055437515,0.011631691
0.5,0.095683418,0.1025791
0.5,0.086526186,0.006256967
0.5,0.085890144,0.001474023
0.5,0.086737344,0.010452318
0.5,0.081072543,0.000865576
0.5,0.08706823,0.000140272
0.5,0.050787512,0.041339052
0.5,0.008425933,0.083569508
0.5,0.083672546,0.003437136
0.5,0.084067803,0.008120659
0.5,0.072231203,0.004489562
0.5,0.065866631,0.096811355
0.5,0.004711238,0.012492061
0.5,0.08534756,8.82E-05
0.5,0.073777244,0.002194007
0.5,0.076395955,0.00688532
0.5,0.082314618,0.002766522
0.5,0.087237924,0.001301885
0.5,0.087773657,0.010167998
0.5,0.08483469,0.008695431
0.5,0.078534443,0.012590685
0.5,0.099652254,0.233072161
0.5,0.034174257,0.010936323
0.5,0.073674648,0.005148264
0.5,0.039289964,0.007275755
0.5,0.01889658,0.025485861
0.5,0.087609387,0.000599107
0.5,0.0879712,0.234578769
0.5,0.085310192,0.235165733
0.5,0.074959397,0.070144977
0.5,0.088079759,0.005618954
0.5,0.08137403,0.00091837
0.5,0.010678446,0.043201897
0.5,0.158505733,0.646607092
0.5,0.083646283,0.005861989
0.5,0.070499973,0.067277697
0.5,0.083909955,0.003004496
0.5,0.133598761,0.330837327
0.5,0.052931575,0.006068922
0.5,0.087810178,0.002425519
0.5,0.078033862,0.010928567
0.5,0.061841551,0.021740381
0.5,0.008724642,0.035617023
0.5,0.092145815,0.007842838
0.5,0.019208042,0.083392668
0.5,0.052614198,0.011459833
0.5,0.016651593,0.149877951
0.5,0.038808251,0.084804617
0.5,0.084089696,0.001923737
0.5,0.072637276,0.07602119
0.5,0.030326172,0.005529145
0.5,0.05078763,0.001278015
0.5,0.087267296,0.000647681
0.5,0.086136195,9.49E-05
0.5,0.090781834,0.003492407
0.5,0.085015631,0.000344091
0.5,0.072864837,0.021012957
0.5,0.129967193,0.368501322
0.5,0.050630944,0.002019233
0.5,0.058066481,0.00174986
0.5,0.019258968,0.017626102
0.5,0.294421011,1.106933493
0.5,0.057982021,0.007661035
0.5,0.087230873,0.001548993
0.5,0.172302697,0.569380255
0.5,0.067473474,0.020969979
0.5,0.085533682,0.001731134
0.5,0.057518077,0.235403095
0.5,0.048327949,3.71E-05
0.5,0.087420492,9.27E-05
0.5,0.07792889,0.081737312
0.5,0.082196842,0.007412663
0.5,0.087664762,0.001119548
0.5,0.086698995,0.000791043
0.5,0.024307835,0.011506891
0.5,0.080363416,0.006064711
0.5,0.070830041,0.008043935
0.5,0.091170569,0.000592027
0.5,0.09577615,0.197511433
0.5,0.030679576,0.01084839
0.5,0.087283776,0.001971784
0.5,0.115434505,0.393522615
